"Program","College","Age","Gender","FirstGen","Race","TSI_MATH","TSI_WRITING","TSI_READING","MotherEducation","FatherEducation","Homeschooled","HasGED","Highschool","FinAid","EFC"
"Biology","Math and Science",23,"Male","No","White","NULL","NULL","384","Graduate/Professional Degree","Bachelor/Four-year Degree",0,1,"Texas Ged","OTHER","9999999"
"Nursing-Vocational","Health Science",28,"Female","Yes","Black or African American","948","352","345","Some High School","Some High School",0,0,"Midland High School","FED PELL GRANT","0"
"Radiologic Technology","Health Science",26,"Female","Yes","Hispanic/Latino","941","952","952","Some High School","Some High School",0,0,"NORTH MESQUITE HIGH SCHOOL","FED PELL GRANT","0"
"Engineering","Math and Science",26,"Female","Yes","Black or African American","341","355","350","Some High School","High School Diploma or GED",0,0,"MISD- LHS","OTHER","0"
"Kinesiology","Math and Science",23,"Female","Unknown","Black or African American","358","352","351","Unknown","Unknown",0,0,"MISD- LHS","OTHER","4227"
"Cosmetology","Career and Technical",33,"Female","No","White","33","NULL","NULL","Associate Degree","Some College",0,0,"Midland High School","FED PELL GRANT","5080"
"Nursing-Vocational","Health Science",37,"Female","Unknown","American Indian or Alaska Native","310","341","336","Unknown","Unknown",0,0,"LAWRENCE D BELL HIGH SCHOOL","FED PELL GRANT","0"
"Child Care and Development","Education",26,"Female","Unknown","White","328","357","347","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Health Information Management","Health Science",42,"Female","Unknown","Hispanic/Latino","233","240","235","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","9999999"
"Engineering","Math and Science",25,"Male","No","Hispanic/Latino","352","349","350","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"MISD- LHS","FED PELL GRANT","2441"
"Business Management","Business",39,"Female","Unknown","Black or African American","339","10","78","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Energy Technology","Career and Technical",20,"Male","Unknown","Hispanic/Latino","351","361","361","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Fire Science Technology","Health Science",43,"Male","Unknown","White","235","240","250","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Kinesiology","Math and Science",22,"Male","Unknown","Hispanic/Latino","353","367","359","Unknown","Unknown",0,0,"MISD- LHS","OTHER","26467"
"Computer Information Technology","Career and Technical",25,"Male","No","Unknown","353","375","351","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","9999999"
"Kinesiology","Math and Science",28,"Female","Unknown","Hispanic/Latino","238","240","189","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","6537"
"Business Management","Business",28,"Male","Unknown","Hispanic/Latino","NULL","366","358","Some College","Some High School",0,0,"MISD- LHS","OTHER","0"
"Nursing-Vocational","Health Science",60,"Female","Unknown","Hispanic/Latino","141","180","198","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Business Administration","Business",41,"Female","Yes","Hispanic/Latino","924","61","81","Some High School","Some High School",0,1,"Texas Ged","FED PELL GRANT","1754"
"Automotive Technology","Career and Technical",23,"Male","Unknown","Hispanic/Latino","355","354","351","Unknown","Unknown",0,0,"MISD- LHS","OTHER","4873"
"Paralegal","Career and Technical",21,"Female","Unknown","Hispanic/Latino","933","931","931","Unknown","High School Diploma or GED",0,0,"Midland High School","OTHER","9999999"
"Paralegal","Career and Technical",26,"Female","Yes","Hispanic/Latino","339","355","352","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","925"
"Nursing-Associate Degree","Health Science",44,"Female","Yes","White","19","95","88","High School Diploma or GED","Some High School",0,0,"Midland High School","OTHER","0"
"Computer Information Technology","Career and Technical",40,"Male","Unknown","Black or African American","328","328","327","Unknown","Unknown",0,0,"Unknown International High School","OTHER","3407"
"Business Administration","Business",25,"Female","No","White","919","NULL","NULL","Bachelor/Four-year Degree","Some College",0,0,"MISD- LHS","OTHER","1393"
"Geology","Math and Science",22,"Male","No","Hispanic/Latino","356","351","356","Some High School","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","9999999"
"Business Administration","Business",34,"Female","Yes","Hispanic/Latino","933","950","950","No High School","Some High School",0,1,"FORT STOCKTON HIGH SCHOOL","OTHER","6599"
"Organizational Management","Business",25,"Male","Unknown","White","942","354","348","Unknown","Unknown",0,0,"STANTON HIGH SCHOOL","OTHER","0"
"Cosmetology","Career and Technical",27,"Female","Unknown","White","330","359","360","Some College","High School Diploma or GED",0,0,"LA PORTE HIGH SCHOOL","FED PELL GRANT","0"
"Office Systems Technology","Career and Technical",46,"Female","Unknown","Hispanic/Latino","341","383","363","Unknown","Unknown",0,0,"ROSWELL HIGH SCHOOL","OTHER","40"
"Psychology","Social and Behavioral Science",28,"Female","Yes","White","362","372","383","Some High School","Some High School",0,0,"GRANTS HIGH SCHOOL","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",40,"Female","Yes","Hispanic/Latino","927","944","944","Some High School","Some High School",0,0,"Midland High School","FED PELL GRANT","575"
"Computer Information Technology","Career and Technical",48,"Female","Unknown","Hispanic/Latino","275","220","282","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Health Information Management","Health Science",24,"Female","Unknown","Hispanic/Latino","350","365","357","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","FED PELL GRANT","0"
"Cosmetology","Career and Technical",31,"Female","Unknown","Hispanic/Latino","310","348","335","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Welding","Career and Technical",25,"Male","No","Hispanic/Latino","373","342","346","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"Unknown International High School","OTHER","0"
"Automotive Technology","Career and Technical",23,"Male","Unknown","Hispanic/Latino","354","359","346","Unknown","Unknown",0,0,"MISD- LHS","OTHER","13756"
"Health Services Management","Health Science",31,"Male","Yes","Asian","271","180","232","No High School","No High School",0,0,"Unknown International High School","OTHER","0"
"Business Management","Business",20,"Female","Yes","Hispanic/Latino","359","350","361","Some High School","Some High School",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","0"
"Business Administration","Business",21,"Female","Yes","Hispanic/Latino","359","358","360","Some High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Philosophy","Language and Fine Arts",38,"Female","Yes","Hispanic/Latino","350","240","204","High School Diploma or GED","Some High School",0,0,"LAMESA HIGH SCHOOL","OTHER","420"
"Substance Abuse Counseling","Health Science",39,"Female","Yes","Hispanic/Latino","333","34","85","No High School","High School Diploma or GED",0,1,"Texas Ged","OTHER","0"
"Education","Education",24,"Female","Yes","Hispanic/Latino","359","370","363","No High School","No High School",0,0,"Midland High School","OTHER","240"
"Substance Abuse Counseling","Health Science",24,"Male","No","Hispanic/Latino","335","361","349","Bachelor/Four-year Degree","High School Diploma or GED",0,0,"Midland High School","OTHER","15396"
"Criminal Justice","Career and Technical",25,"Female","Unknown","Black or African American","350","353","347","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",27,"Female","Yes","Hispanic/Latino","351","362","353","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","0"
"Diesel Technology","Career and Technical",21,"Male","Unknown","Hispanic/Latino","959","946","946","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Education","Education",42,"Female","Unknown","White","251","240","244","High School Diploma or GED","Some College",0,0,"LEANDER HIGH SCHOOL","OTHER","0"
"Arts","Language and Fine Arts",22,"Male","Unknown","Hispanic/Latino","337","363","360","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","4650"
"Business Administration","Business",23,"Female","No","Hispanic/Latino","345","362","356","Associate Degree","Associate Degree",0,0,"Midland High School","OTHER","10693"
"Psychology","Social and Behavioral Science",24,"Female","Yes","White","351","364","359","Some High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","27297"
"Business Administration","Business",28,"Female","No","White","57","60","92","Unknown","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","0"
"Kinesiology","Math and Science",42,"Female","Unknown","Black or African American","335","NULL","NULL","Unknown","Unknown",0,0,"BROWNWOOD HIGH SCHOOL","OTHER","0"
"Nursing-Associate Degree","Health Science",33,"Female","Unknown","Black or African American","353","360","359","Unknown","Unknown",0,0,"Unknown International High School","OTHER","1140"
"Emergency Medical Services","Health Science",44,"Male","Unknown","Hispanic/Latino","235","240","241","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Education","Education",32,"Female","Yes","Hispanic/Latino","932","69","83","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","0"
"Biology","Math and Science",25,"Female","Unknown","Hispanic/Latino","348","359","351","Unknown","Unknown",0,0,"STEPHEN F AUSTIN HIGH SCHOOL","FED PELL GRANT","899"
"Nursing-Vocational","Health Science",27,"Female","Unknown","Black or African American","354","350","351","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","FED PELL GRANT","0"
"Business Administration","Business",25,"Male","Unknown","White","336","355","350","Unknown","Unknown",0,0,"JAMES MADISON HIGH SCHOOL","OTHER","9999999"
"Emergency Medical Services","Health Science",26,"Male","No","White","362","360","359","Some College","Bachelor/Four-year Degree",0,0,"AUSTIN E LATHROP HIGH SCHOOL","OTHER","120"
"Nursing-Associate Degree","Health Science",25,"Female","Unknown","Hispanic/Latino","352","356","365","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Psychology","Social and Behavioral Science",26,"Male","Yes","Hispanic/Latino","347","360","362","High School Diploma or GED","No High School",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",25,"Male","Unknown","White","357","374","355","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","39552"
"Organizational Management","Business",32,"Female","No","Hispanic/Latino","325","349","362","Associate Degree","Some High School",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Business Administration","Business",29,"Female","Unknown","Hispanic/Latino","345","362","354","Unknown","Unknown",0,0,"MISD- LHS","OTHER","10997"
"Business Management","Business",33,"Female","No","White","310","NULL","NULL","Unknown","Associate Degree",0,0,"MISD- LHS","OTHER","0"
"Criminal Justice","Career and Technical",24,"Male","Unknown","Hispanic/Latino","359","369","351","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Music","Language and Fine Arts",24,"Male","Unknown","Hispanic/Latino","352","359","360","High School Diploma or GED","Some College",0,1,"MISD- LHS","OTHER","9999999"
"Criminal Justice","Career and Technical",24,"Female","Unknown","Hispanic/Latino","372","376","362","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Energy Technology","Career and Technical",22,"Female","Yes","Hispanic/Latino","348","366","353","No High School","No High School",0,0,"Midland High School","OTHER","5470"
"Emergency Medical Services","Health Science",32,"Male","Yes","Hispanic/Latino","357","359","368","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","0"
"Diesel Technology","Career and Technical",28,"Female","Unknown","Unknown","322","359","357","Unknown","Unknown",0,0,"PENN FOSTER HIGH SCHOOL","OTHER","0"
"Business Management","Business",29,"Female","Unknown","Black or African American","327","5","76","Unknown","Unknown",0,0,"SAM HOUSTON HIGH SCHOOL","FED PELL GRANT","0"
"Engineering","Math and Science",20,"Male","Yes","Hispanic/Latino","961","938","938","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","7795"
"Nursing-Vocational","Health Science",40,"Female","Unknown","Hispanic/Latino","29","51","73","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","6300"
"Patient Care Technician","Health Science",25,"Male","No","White","349","377","366","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"MIDLAND CHRISTIAN SCHOOL","OTHER","9999999"
"Office Systems Technology","Career and Technical",40,"Female","Unknown","Hispanic/Latino","323","352","361","Unknown","Unknown",0,0,"Unknown International High School","OTHER","0"
"Education","Education",24,"Female","Yes","White","351","364","359","Some High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","27297"
"Business Management","Business",27,"Male","No","White","347","NULL","NULL","Some College","Bachelor/Four-year Degree",0,0,"STANTON HIGH SCHOOL","FED PELL GRANT","0"
"Psychology","Social and Behavioral Science",29,"Female","Unknown","Hispanic/Latino","318","NULL","NULL","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","FED PELL GRANT","0"
"Business Administration","Business",29,"Female","Unknown","Asian","343","347","344","Unknown","Unknown",0,0,"WAIPAHU HIGH SCHOOL","FED PELL GRANT","0"
"Organizational Management","Business",50,"Female","Unknown","White","234","364","90","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Education","Education",31,"Female","No","Hispanic/Latino","351","NULL","NULL","Associate Degree","High School Diploma or GED",0,0,"MISD- LHS","OTHER","6775"
"Psychology","Social and Behavioral Science",24,"Female","Unknown","Hispanic/Latino","350","347","347","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Business Management","Business",25,"Male","Unknown","Hispanic/Latino","345","353","356","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Education","Education",33,"Female","No","White","20","NULL","NULL","Bachelor/Four-year Degree","High School Diploma or GED",0,0,"Midland High School","OTHER","8352"
"Cosmetology","Career and Technical",25,"Female","Unknown","Hispanic/Latino","332","366","363","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","5329"
"Air Conditioning, Heating and Refrigeration Technology","Career and Technical",39,"Male","Unknown","Hispanic/Latino","NULL","87","80","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Education","Education",40,"Female","No","Hispanic/Latino","329","240","342","High School Diploma or GED","Associate Degree",0,1,"RICHARD MILBURN ACADEMY","OTHER","8713"
